iteracion,recompensa,longitud,contribucion_recompensa_vx,contribucion_recompensa_progreso,contribucion_recompensa_vy,contribucion_recompensa_yaw,contribucion_recompensa_vertical,contribucion_recompensa_supervivencia,contribucion_penalizacion_y,contribucion_penalizacion_suavidad,contribucion_penalizacion_torque,contribucion_penalizacion_pose,recompensa_vx,recompensa_progreso,recompensa_vy,recompensa_yaw,recompensa_vertical,recompensa_supervivencia,activacion_marcha,penalizacion_y,penalizacion_error_vx,penalizacion_suavidad,penalizacion_torque,penalizacion_pose,recompensa_fin_supervivencia,recompensa_fin_distancia_objetivo,penalizacion_fin_error_vx,penalizacion_fin_caida
27,692.4385986328125,380.1632385253906,0.1693188101053238,0.007168206386268139,1.0876907110214233,0.41723179817199707,0.14616501331329346,0.0731620043516159,1.3808440598950256e-05,0.004516853950917721,0.012461423873901367,0.0,0.0846594050526619,0.014336412772536278,0.7371827363967896,0.28702622652053833,0.9909537434577942,1.0,0.1463240087032318,0.00027616883744485676,0.11394336819648743,0.4516853988170624,2492.284912109375,0.0056675574742257595,0.0,0.0,0.0,25.0
28,695.75244140625,384.4701843261719,0.17179499566555023,0.007874872535467148,1.0875005722045898,0.41299527883529663,0.14679864048957825,0.07348185777664185,1.4454140909947455e-05,0.004585651680827141,0.012543443590402603,0.0,0.08589749783277512,0.015749745070934296,0.7364614009857178,0.28437334299087524,0.9910435676574707,1.0,0.1469637155532837,0.00028908284730277956,0.1132073700428009,0.4585651755332947,2508.68896484375,0.0056242612190544605,0.0,0.0,0.0,25.0
29,715.4739379882812,393.045654296875,0.17085424065589905,0.00846058689057827,1.0896368026733398,0.4135848879814148,0.14668583869934082,0.07342833280563354,1.4227288374968339e-05,0.0046319616958498955,0.012600270099937916,0.0,0.08542712032794952,0.01692117378115654,0.7362162470817566,0.28260427713394165,0.991209864616394,1.0,0.1468566656112671,0.0002845457929652184,0.1115400493144989,0.46319615840911865,2520.05419921875,0.005592654924839735,0.03618421033024788,8.548561163479462e-05,0.0006501074531115592,24.963815689086914
30,780.6409301757812,409.68670654296875,0.18015584349632263,0.009275894612073898,1.1423169374465942,0.4269893169403076,0.15270209312438965,0.07644785195589066,1.4070255019760225e-05,0.004678174387663603,0.012728299014270306,0.0,0.09007792174816132,0.018551789224147797,0.7365976572036743,0.282396137714386,0.9914764165878296,1.0,0.1528957039117813,0.0002814051113091409,0.10932205617427826,0.46781739592552185,2545.65966796875,0.005642224103212357,0.0412326380610466,0.0,0.0007195028010755777,24.95876693725586
31,790.654296875,414.82965087890625,0.17921598255634308,0.010186951607465744,1.1335138082504272,0.42689722776412964,0.15232208371162415,0.0762631744146347,1.5111885659280233e-05,0.00474794814363122,0.012801721692085266,0.0,0.08960799127817154,0.020373903214931488,0.7358613014221191,0.28269606828689575,0.9916099309921265,1.0,0.1525263488292694,0.0003022377204615623,0.1082066148519516,0.47479483485221863,2560.344482421875,0.00562701653689146,0.0734747052192688,0.0,0.0014075418002903461,24.926525115966797
32,804.8009033203125,418.25384521484375,0.18295876681804657,0.012384483590722084,1.154801845550537,0.4310714900493622,0.15494304895401,0.07758697122335434,1.4571452084055636e-05,0.00480455020442605,0.012942654080688953,0.0,0.09147938340902328,0.024768967181444168,0.736838698387146,0.2809213697910309,0.9914488792419434,1.0,0.15517394244670868,0.00029142905259504914,0.10943956673145294,0.4804550111293793,2588.53076171875,0.005775313824415207,0.0260416679084301,0.0,0.0004724484169855714,24.97395896911621
33,841.052001953125,425.58642578125,0.18701942265033722,0.013742167502641678,1.1735267639160156,0.438223659992218,0.15811295807361603,0.07918217778205872,1.5653680748073384e-05,0.004862585105001926,0.013057874515652657,0.0,0.09350971132516861,0.027484335005283356,0.7363687753677368,0.27996957302093506,0.9915305376052856,1.0,0.15836435556411743,0.0003130736295133829,0.10851341485977173,0.48625844717025757,2611.57470703125,0.005865425802767277,0.05039865896105766,0.0,0.0009388086618855596,24.949602127075195
34,873.1868896484375,435.948974609375,0.18966776132583618,0.016220340505242348,1.193343162536621,0.4474525451660156,0.16066592931747437,0.08046932518482208,1.5545405403827317e-05,0.004913724027574062,0.01316748559474945,0.0,0.09483388066291809,0.032440681010484695,0.7359703779220581,0.27852925658226013,0.9914752244949341,1.0,0.16093865036964417,0.0003109081299044192,0.1087605431675911,0.4913724362850189,2633.497314453125,0.0059560565277934074,0.10671240836381912,0.0,0.002051213290542364,24.893287658691406
35,878.2098388671875,434.5389404296875,0.19242288172245026,0.01901857927441597,1.218691349029541,0.44873231649398804,0.16349098086357117,0.08189405500888824,1.5605639418936335e-05,0.0049795727245509624,0.01336757093667984,0.0,0.09621144086122513,0.03803715854883194,0.7351137399673462,0.27691394090652466,0.9913116693496704,1.0,0.1637881100177765,0.0003121127956546843,0.1099734753370285,0.4979572892189026,2673.51416015625,0.006095767021179199,0.07599009573459625,0.00016903504729270935,0.001397231942974031,24.92401123046875
36,861.8202514648438,417.79083251953125,0.19841986894607544,0.023037679493427277,1.2482879161834717,0.4639286398887634,0.16879962384700775,0.08456455171108246,1.6071546269813552e-05,0.005041211843490601,0.013569490984082222,0.0,0.09920993447303772,0.04607535898685455,0.7322277426719666,0.27635616064071655,0.9909675717353821,1.0,0.16912910342216492,0.0003214309108443558,0.11283496767282486,0.5041211843490601,2713.8984375,0.006286568008363247,0.04511663317680359,0.00024409248726442456,0.0008235317654907703,24.954883575439453
37,861.5470581054688,404.0321350097656,0.20664556324481964,0.028522377833724022,1.2955474853515625,0.4763004183769226,0.17404504120349884,0.08720794320106506,1.4627168638980947e-05,0.005099306348711252,0.013845352455973625,0.0,0.10332278162240982,0.057044755667448044,0.7341102957725525,0.274777352809906,0.9902635216712952,1.0,0.17441588640213013,0.00029254338005557656,0.11832290887832642,0.5099306106567383,2769.07080078125,0.006560043431818485,0.04576767608523369,0.0,0.000778853427618742,24.95423126220703
38,863.808837890625,388.5060729980469,0.21834725141525269,0.033699169754981995,1.363726258277893,0.5029572248458862,0.18298588693141937,0.09170228242874146,1.4984794688643888e-05,0.005167312920093536,0.014146815985441208,0.0,0.10917362570762634,0.06739833950996399,0.7344335913658142,0.2752363681793213,0.9897893071174622,1.0,0.1834045648574829,0.0002996958792209625,0.12205690145492554,0.5167312622070312,2829.36328125,0.006860111840069294,0.08079439401626587,0.0,0.001527371583506465,24.919204711914062
39,851.5919189453125,363.0973205566406,0.23148111999034882,0.04076209291815758,1.442244529724121,0.5279908180236816,0.19323748350143433,0.0968569666147232,1.4101045962888747e-05,0.005232783034443855,0.014479067176580429,0.0,0.11574055999517441,0.08152418583631516,0.7348999381065369,0.27447932958602905,0.9890756011009216,1.0,0.1937139332294464,0.00028202097746543586,0.12769989669322968,0.5232782363891602,2895.8134765625,0.007213391363620758,0.0432477705180645,0.0,0.0008067794842645526,24.95675277709961
40,823.1574096679688,334.458984375,0.24601683020591736,0.04906590282917023,1.5063364505767822,0.5492435693740845,0.2027728110551834,0.101660817861557,1.3936665709479712e-05,0.00530426437035203,0.014904169365763664,0.0,0.12300841510295868,0.09813180565834045,0.7338019609451294,0.2730102837085724,0.9880976676940918,1.0,0.203321635723114,0.00027873337967321277,0.13569164276123047,0.5304264426231384,2980.833740234375,0.007610610220581293,0.02357826754450798,0.0,0.0004970139707438648,24.976421356201172
41,848.2711181640625,331.7562255859375,0.25890570878982544,0.05398312956094742,1.5752346515655518,0.5691482424736023,0.21226102113723755,0.10644359141588211,1.3934453818365e-05,0.005371234379708767,0.015155719593167305,0.0,0.12945285439491272,0.10796625912189484,0.7321436405181885,0.2718967795372009,0.9878213405609131,1.0,0.21288718283176422,0.00027868914185091853,0.13772346079349518,0.537123441696167,3031.14404296875,0.007936280220746994,0.045474275946617126,8.547471952624619e-05,0.0009520086459815502,24.954524993896484
42,813.9619140625,298.8778381347656,0.2755401134490967,0.06532073765993118,1.6368666887283325,0.6003521680831909,0.2214623987674713,0.11108878254890442,1.395998515363317e-05,0.005425237584859133,0.015572147443890572,0.0,0.13777005672454834,0.13064147531986237,0.7313339710235596,0.2718636393547058,0.9864556193351746,1.0,0.22217756509780884,0.00027919973945245147,0.1489066630601883,0.5425237417221069,3114.429443359375,0.008437653072178364,0.06559811532497406,0.0009971505496650934,0.001147313741967082,24.934402465820312
43,808.5162963867188,281.998291015625,0.29249897599220276,0.07264167070388794,1.7192611694335938,0.6298812627792358,0.23173314332962036,0.11627165973186493,1.30574971990427e-05,0.005485286936163902,0.015928341075778008,0.0,0.14624948799610138,0.14528334140777588,0.7302119731903076,0.2726197838783264,0.9858025908470154,1.0,0.23254331946372986,0.0002611499512568116,0.15369167923927307,0.5485287308692932,3185.66845703125,0.008834920823574066,0.03963817283511162,0.0,0.0007710340432822704,24.96036148071289
