label,timestamp,lineage,run_dir,reward_weight_count
R42,2026-06-23 15:13:25,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-23_15-13-25_v4_0_top4_no_altphase_support25_clear100_4096envs_from_fresh100_to_300_save25_20260623,62
R43,2026-06-23 14:59:36,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-23_14-59-36_v4_0_top4_no_altphase_support25_clear100_4096envs_from_fresh200_to_300_save25_20260623,62
R44,2026-06-22 19:57:27,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_19-57-27_v4_0_top4_no_altphase_4096envs_from_fresh200_to_300_save25_20260622,62
R45,2026-06-22 19:30:05,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_19-30-05_v4_0_top4_may31_rebalance_4096envs_from_fresh200_to_300_save25_20260622,63
R46,2026-06-22 18:57:49,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_18-57-49_v4_0_top4_may31_rebalance_4096envs_zero_to_200_save25_rerun_fall_exploit_check_20260622,63
R47,2026-06-22 18:39:07,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_18-39-07_v4_0_top4_may31_rebalance_4096envs_from_rerun100_to_200_save25_20260622,63
R48,2026-06-22 18:16:49,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_18-16-49_v4_0_top4_may31_rebalance_4096envs_zero_to_100_save25_rerun_compare_20260622,63
R49,2026-06-22 15:07:27,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_15-07-27_v4_0_top4_may31_rebalance_4096envs_from_100_to_300_save25_20260622,63
R50,2026-06-22 14:48:50,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_14-48-50_v4_0_top4_may31_rebalance_4096envs_zero_to_100_save25_20260622,63
R51,2026-06-22 14:45:07,v4.0,logs/rsl_rl/kbot_forward_flat/2026-06-22_14-45-07_v4_0_top4_may31_rebalance_aborted_at21_20260622,63
R52,2026-06-22 12:28:34,v4,logs/rsl_rl/kbot_forward_flat/2026-06-22_12-28-34_v4_top4_soletrack_4096envs_from_100_to_300_save25_20260622,63
R53,2026-06-22 11:47:18,v4,logs/rsl_rl/kbot_forward_flat/2026-06-22_11-47-18_v4_top4_soletrack_4096envs_zero_to_100_20260622,63
R54,2026-06-19 15:19:33,v4,logs/rsl_rl/kbot_forward_flat/2026-06-19_15-19-33_v4_top4_starter_implicit_4096envs_zero_to_100_20260619,63
R55,2026-06-19 14:52:40,v4,logs/rsl_rl/kbot_forward_flat/2026-06-19_14-52-40_v4_top4_starter_explicit_4096envs_zero_to_100_20260619,63
R56,2026-06-06 03:03:49,v3.1,logs/rsl_rl/kbot_forward_flat/2026-06-06_03-03-49_v3_1_cyclic_4096envs_from_zero_to_100_save25_20260606,63
